Date,".SPX, Index Level",USA 2Y OTR YIELD,USA 2Y 10Y,USA 5Y 30Y,USD 2Y5Y10Y,USD 5Y10Y30Y,"FRA OIS, USD, IMM Date 20200916","1Y X 1Y USD/EUR OIS Basis Spread, Base Funding",5Y X 5Y USD Fwd Swap Rate,10Y X 10Y USD Fwd Swap Rate,USD 10Y Invoice Spread,Spot Gold Index Data,"USD.JPY, FX Spot","USD.ZAR, FX Spot","CDX.NA.HY, On the run, 5Y, Citi Spread"
07/27/2020,,0.142262,43.1016,94.9806,-0.183468,0.037768,,,0.847059,1.01045,,,105.32,16.4793,
07/26/2020,,,,,,,,,,,,1901.46,105.495,16.5465,
07/25/2020,3215.63,,,,,,,,,,,1901.46,105.67,16.6137,
07/24/2020,3215.63,0.147341,44.1503,96.5048,-0.181079,0.036414,0.183669,-31.5825,0.860596,1.02639,-1.28308,1901.46,105.845,16.6809,461.787
07/23/2020,3235.66,0.147247,43.5074,98.3408,-0.177533,0.030347,0.18617,-31.2448,0.848988,1.02141,-1.33473,1887.44,106.99,16.5477,460.968
07/22/2020,3276.02,0.145195,44.8604,102.201,-0.182052,0.021841,0.195042,-31.2727,0.856887,1.04241,-1.77223,1872.07,107.17,16.4249,453.562
07/21/2020,3257.3,0.141133,46.4151,104.532,-0.185644,0.021201,0.193979,-32.6925,0.873657,1.06184,-1.6899,1842.22,106.91,16.4744,458.135
07/20/2020,3251.84,0.149169,47.0891,103.452,-0.181199,0.027204,0.20425,-31.2561,0.881393,1.05941,-1.97599,1816.09,107.18,16.6752,462.708
07/19/2020,,,,,,,,,,,,1809.9,107.17,16.6717,
07/18/2020,,,,,,,,,,,,1809.9,107.16,16.6682,
07/17/2020,3224.73,0.145111,48.3163,104.641,-0.189488,0.032971,0.20787,-31.1335,0.910801,1.08883,-1.23967,1809.9,107.15,16.6647,471.881
07/16/2020,3215.57,0.145027,46.5199,102.748,-0.186518,0.033307,0.207803,-31.3159,0.880321,1.05121,-1.08473,1797.05,107.12,16.64,482.578
07/15/2020,3226.56,0.153003,47.5268,104.521,-0.184945,0.032447,0.206069,-32.8429,0.899557,1.07452,-1.51031,1811.9,106.83,16.5362,478.296
07/14/2020,3197.52,0.152964,46.0547,102.115,-0.179702,0.036556,0.205128,-32.673,0.876458,1.0409,-1.6304,1807.79,107.24,16.7967,505.161
07/13/2020,3155.22,0.158912,48.0853,103.991,-0.182217,0.04206,0.204507,-32.9094,0.919815,1.08424,-1.6725,1803.39,107.26,16.6733,506.483
07/12/2020,,,,,,,,,,,,1798.9,107.09,16.7009,
07/11/2020,,,,,,,,,,,,1798.9,106.92,16.7284,
07/10/2020,3185.04,0.152887,48.195,102.998,-0.174615,0.046512,0.20401,-32.1119,0.915182,1.07216,-1.68173,1798.9,106.75,16.756,499.35
07/09/2020,3152.05,0.150788,45.2896,103.682,-0.187137,0.031816,0.20979,-31.4326,0.868169,1.04028,-1.85003,1803.19,107.27,16.9125,504.823
07/08/2020,3169.94,0.154716,49.8203,110.022,-0.205481,0.0339,0.213479,-31.7928,0.938275,1.12318,-2.92932,1810.78,107.5,17.0104,482.84
07/07/2020,3145.32,0.162592,48.6991,109.641,-0.200111,0.029836,0.204781,-32.1565,0.932461,1.12059,-2.51861,1795.26,107.55,17.1028,509.655
07/06/2020,3179.72,0.160564,52.1893,113.342,-0.20316,0.030032,0.213352,-33.3364,0.983104,1.18087,-2.54174,1783.9,107.46,16.9284,488.323
07/05/2020,,,,,,,,,,,,1775.05,107.483,16.9725,
07/04/2020,,,,,,,,,,,,1775.05,107.507,17.0166,
07/03/2020,3154.87,,,,,,0.212839,-34.6621,,,-2.3921,1775.05,107.53,17.0608,501.883
07/02/2020,3130.01,0.152621,51.8303,113.695,-0.21702,0.031405,0.220614,-33.9872,0.974796,1.17123,-2.24246,1776.14,107.62,16.9716,501.883
07/01/2020,3115.86,0.164249,51.8132,112.068,-0.203254,0.036865,0.221922,-33.6406,0.988124,1.17544,-2.03711,1770.32,107.525,17.054,511.197
06/30/2020,3100.29,0.152433,50.0383,112.379,-0.212931,0.029366,0.219836,-33.3023,0.953677,1.14709,-2.13427,1781.67,107.87,17.3676,516.485
06/29/2020,3053.24,0.158269,47.8167,110.885,-0.205444,0.022033,0.223788,-34.3195,0.92201,1.11765,-1.35226,1772.28,107.715,17.3012,536.179
06/28/2020,,,,,,,,,,,,1771.47,107.587,17.3133,
06/27/2020,,,,,,,,,,,,1771.47,107.458,17.3255,
06/26/2020,3009.05,0.166101,47.0332,107.417,-0.185968,0.02568,0.231277,-32.9976,0.913202,1.09635,-1.54078,1771.47,107.33,17.3377,526.5
06/25/2020,3083.76,0.183729,48.8715,109.153,-0.186365,0.028009,0.235528,-32.5719,0.966893,1.15268,-1.7565,1761.82,107.19,17.2691,502.615
06/24/2020,3050.33,0.187647,49.4628,112.879,-0.200301,0.018747,0.227467,-32.9174,0.987775,1.19272,-1.71145,1762.43,106.9,17.3066,517.015
06/23/2020,3131.29,0.189766,51.7141,116.328,-0.209677,0.01939,0.234999,-33.1852,1.0272,1.23928,-1.83137,1767.54,106.24,17.2219,492.907
06/22/2020,3117.86,0.191698,51.0254,112.894,-0.192723,0.028211,0.233343,-32.6392,1.00784,1.19975,-2.23942,1755.44,106.89,17.3355,499.313
06/21/2020,,,,,,,,,,,,1743.62,106.923,17.3353,
06/20/2020,,,,,,,,,,,,1743.62,106.957,17.3352,
06/19/2020,3097.74,0.187564,50.9438,114.297,-0.201111,0.016361,0.236602,-32.6427,0.996559,1.20211,-2.28971,1743.62,106.99,17.335,500.537
06/18/2020,3115.34,0.193336,49.8687,113.504,-0.202823,0.015084,0.232413,-31.597,0.983607,1.18813,-2.26357,1722.99,106.77,17.4513,481.951
06/17/2020,3113.49,0.195249,53.6198,118.576,-0.214141,0.015958,0.242368,-32.7792,1.04244,1.2578,-2.42818,1727.04,107.24,17.1865,469.214
06/16/2020,3124.74,0.203176,55.1319,118.684,-0.214792,0.03772,0.241103,-32.6819,1.08745,1.27758,-1.26832,1727.46,107.335,17.255,462.469
06/15/2020,3066.59,0.187041,51.641,112.381,-0.200971,0.047924,0.236948,-31.6955,1.01989,1.18449,-0.770752,1725.53,107.4,17.2588,460.385
06/14/2020,,,,,,,,,,,,1730.8,107.377,17.2197,
06/13/2020,,,,,,,,,,,,1730.8,107.353,17.1807,
06/12/2020,3041.31,0.188955,50.9555,112.184,-0.205344,0.036589,0.249749,-32.255,1.01065,1.18931,-1.15225,1730.8,107.33,17.1416,486.723
06/11/2020,3002.1,0.178731,47.2338,109.833,-0.190943,0.010641,0.245502,-32.1866,0.940004,1.14129,-0.883721,1727.51,106.66,17.0559,503.965
06/10/2020,3190.14,0.178656,56.7527,118.14,-0.214027,0.027364,0.254923,-33.2373,1.09359,1.30396,-0.299544,1737.1,107.27,16.614,450.978
06/09/2020,3207.18,0.206394,62.2537,117.905,-0.206204,0.063914,0.262745,-34.1354,1.18914,1.3552,-2.15707,1714.57,107.72,16.6523,462.108
06/08/2020,3232.39,0.230102,65.3831,120.538,-0.181332,0.063478,0.249853,-34.3771,1.25395,1.42396,-1.93294,1695.47,108.575,16.7952,425.364
06/07/2020,,,,,,,,,,,,1685.83,108.967,16.7971,
06/06/2020,,,,,,,,,,,,1685.83,109.358,16.7992,
06/05/2020,3193.93,0.214097,68.9397,120.044,-0.147151,0.062521,0.246605,-35.1769,1.26785,1.43601,-1.7053,1685.83,109.75,16.8012,413.842
06/04/2020,3112.35,0.193995,62.777,122.047,-0.199976,0.035233,0.249961,-34.747,1.19386,1.40375,-1.88518,1711.81,109,16.8636,464.385
06/03/2020,3122.87,0.199812,56.082,117.666,-0.192038,0.016639,0.255296,-33.5557,1.09498,1.31606,-2.10299,1698.63,108.8,16.9189,461.39
06/02/2020,3080.82,0.166269,51.2413,115.981,-0.18861,-0.015381,0.240749,-31.4392,0.980817,1.22856,-1.25548,1727.97,108.57,17.1065,482.954
06/01/2020,3055.73,0.15836,50.2384,115.254,-0.190495,-0.017147,0.251712,-33.184,0.960471,1.20725,-0.867801,1740.34,107.56,17.3503,515.158
05/31/2020,,,,,,,,,,,,1728.3,107.593,17.4406,
05/30/2020,,,,,,,,,,,,1728.3,107.627,17.5309,
05/29/2020,3044.31,0.152433,49.0416,110.268,-0.180513,-0.005866,0.242513,-31.7674,0.931145,1.15311,-0.985488,1728.3,107.66,17.6212,540.284
05/28/2020,3029.73,0.175962,52.712,112.715,-0.176064,-0.000371,0.248489,-31.2342,1.00537,1.23124,-1.40685,1719.4,107.63,17.4234,553.199
05/27/2020,3036.13,0.175962,50.1008,109.063,-0.172603,-0.005928,0.250009,-31.7578,0.962881,1.18701,-1.21976,1709.25,107.84,17.4577,559.479
05/26/2020,2991.77,0.177827,51.8687,108.695,-0.18661,0.010612,0.259905,-30.8735,1.00118,1.20984,-1.86268,1712.46,107.59,17.3625,580.075
05/25/2020,2973.61,,,,,,0.261472,-30.7224,,,-1.6733,1729.57,107.7,17.6398,622.586
05/24/2020,,,,,,,,,,,,1736.07,107.623,17.6645,
05/23/2020,,,,,,,,,,,,1736.07,107.547,17.6892,
05/22/2020,2955.45,0.167602,49.1453,103.901,-0.174965,0.018769,0.254617,-30.4039,0.952599,1.13888,-1.48391,1736.07,107.47,17.7139,622.586
05/21/2020,2948.51,0.169383,50.7506,105.884,-0.177252,0.023861,0.241118,-30.0462,0.966364,1.14914,-2.30711,1726.34,107.83,17.6784,616.291
05/20/2020,2971.61,0.161259,51.7243,106.678,-0.181165,0.033042,0.222938,-30.7067,0.967096,1.13969,-2.57248,1749.52,107.43,17.946,611.059
05/19/2020,2922.94,0.171272,53.9778,108.533,-0.18406,0.040497,0.239551,-30.7634,1.00375,1.17002,-2.79661,1745.11,107.94,18.2254,644.897
05/18/2020,2953.91,0.183271,55.8785,107.978,-0.1761,0.052646,0.244321,-30.7088,1.04375,1.19658,-2.56756,1732.32,107.42,18.4056,639.857
05/17/2020,,,,,,,,,,,,1743,107.377,18.4593,
05/16/2020,,,,,,,,,,,,1743,107.333,18.5131,
05/15/2020,2863.7,0.149068,49.21,101.221,-0.178609,0.046386,0.246055,-30.5407,0.901398,1.0407,-2.34631,1743,107.29,18.5668,682.279
05/14/2020,2852.5,0.150966,46.7579,99.6614,-0.183015,0.03645,0.268167,-29.7446,0.853971,0.999135,-3.84942,1730.65,107.05,18.6104,674.621
05/13/2020,2820,0.160908,48.8337,102.557,-0.197216,0.032288,0.258795,-29.8938,0.890046,1.04834,-4.56034,1715.99,107.13,18.4575,673.994
05/12/2020,2870.12,0.172819,50.5045,104.627,-0.197638,0.039869,0.260977,-31.2261,0.931756,1.08751,-5.65115,1702.72,107.245,18.2353,642.57
05/11/2020,2930.32,0.180717,54.3602,108.545,-0.199807,0.046132,0.24547,-31.1275,0.98362,1.13724,-7.14748,1697.35,107.51,18.3741,639.574
05/10/2020,,,,,,,,,,,,1702.65,107.152,18.3584,
05/09/2020,,,,,,,,,,,,1702.65,106.793,18.3427,
05/08/2020,2929.8,0.146849,53.1445,105.957,-0.20033,0.051682,0.225956,-32.743,0.942636,1.0796,-5.90685,1702.65,106.435,18.327,632.786
05/07/2020,2881.19,0.128955,50.2422,102.67,-0.184485,0.039762,0.253494,-32.6214,0.872257,1.01,-4.94746,1717.94,106.56,18.6477,642.93
05/06/2020,2848.42,0.180336,53.0641,103.826,-0.160711,0.028697,0.256986,-31.6376,0.948674,1.1015,-5.79418,1685.88,106.04,18.7578,676.635
05/05/2020,2868.44,0.18421,47.136,96.2007,-0.142397,0.03247,0.266206,-33.0479,0.895796,1.02591,-2.64912,1707.17,106.6,18.3794,654.124
05/04/2020,2842.74,0.182157,45.4642,93.7356,-0.14241,0.040552,0.250539,-32.0584,0.870281,0.981324,-2.84322,1701.69,106.945,18.6711,659.695
05/03/2020,,,,,,,,,,,,1687.1,106.933,18.7347,
05/02/2020,,,,,,,,,,,,1687.1,106.922,18.7983,
05/01/2020,2830.71,0.19981,44.1958,90.9503,-0.151809,0.058351,0.257565,-31.5159,0.882601,0.966442,-2.78793,1700.41,106.91,18.8619,650.475
04/30/2020,2912.43,0.181846,44.1648,92.8148,-0.154298,0.057467,0.26023,-30.6939,0.879402,0.965433,-1.78081,1685.05,106.93,18.3701,625.56
04/29/2020,2939.51,0.197444,42.9433,88.0481,-0.142585,0.058832,0.220206,-26.9127,0.869972,0.944419,-2.45232,1712.38,106.59,18.2895,626.108
04/28/2020,2863.39,0.207244,40.4104,83.8178,-0.129293,0.048801,0.240623,-27.0164,0.823297,0.894395,-2.21812,1708.63,106.93,18.6833,658.145
04/27/2020,2878.48,0.224305,43.1444,84.9958,-0.127672,0.065155,0.268676,-27.4903,0.889203,0.943558,-1.91296,1715.57,107.2,18.8588,661.944
04/26/2020,,,,,,,,,,,,1729.43,107.28,18.8981,
04/25/2020,,,,,,,,,,,,1729.43,107.36,18.9374,
04/24/2020,2836.74,0.212341,38.2175,81.5607,-0.131958,0.061091,0.271119,-27.4652,0.818727,0.867445,-0.563285,1729.43,107.44,18.9767,672.145
04/23/2020,2797.8,0.219091,39.1841,83.6137,-0.150028,0.041002,0.281619,-24.4698,0.849266,0.931982,-0.667957,1731.57,107.62,18.9876,658.24
04/22/2020,2799.31,0.209221,40.823,85.6567,-0.161054,0.046206,0.291536,-23.4762,0.882608,0.965663,0.999639,1714.82,107.81,18.9429,654.436
04/21/2020,2736.56,0.205425,36.5199,82.6404,-0.163086,0.049304,0.302269,-24.0675,0.841361,0.910423,3.09456,1687.02,107.65,18.9928,673.202
04/20/2020,2823.16,0.199628,42.2999,88.1109,-0.174262,0.055651,0.308032,-24.9579,0.91547,0.987172,3.55269,1694.11,107.64,18.7436,641.875
04/19/2020,,,,,,,,,,,,1702,107.6,18.7902,
04/18/2020,,,,,,,,,,,,1702,107.56,18.8368,
04/17/2020,2874.56,0.201882,45.4044,91.3929,-0.184841,0.071843,0.280749,-27.3471,0.98526,1.04934,3.48165,1702,107.52,18.8834,588.561
04/16/2020,2799.55,0.200606,40.7235,86.7943,-0.170067,0.055614,0.283099,-27.0668,0.907283,0.977753,4.568,1718.4,107.55,18.6482,606.488
04/15/2020,2783.36,0.202846,43.5065,93.4035,-0.187864,0.044325,0.266048,-28.1097,0.954837,1.05434,4.59847,1716.6,107.415,18.6764,603.553
04/14/2020,2846.06,0.223037,52.8962,99.4035,-0.163324,0.044184,0.287822,-30.452,1.10785,1.22684,3.94704,1729.7,107.22,18.2929,554.783
04/13/2020,2761.63,0.241189,50.7629,95.8757,-0.143913,0.037427,0.313222,-30.5848,1.07779,1.19298,2.89617,1714.32,107.735,18.1581,552.191
04/12/2020,,,,,,,,,,,,1689.9,107.963,18.1096,
04/11/2020,,,,,,,,,,,,1689.9,108.192,18.061,
04/10/2020,2775.73,,,,,,0.330869,-30.5861,,,3.18495,1689.9,108.42,18.0125,526.304
04/09/2020,2789.82,0.223459,49.678,93.5913,-0.140067,0.038202,0.320191,-30.5874,1.04395,1.1507,3.47373,1684.07,108.53,17.8739,526.304
04/08/2020,2749.98,0.253994,50.9145,89.6158,-0.131478,0.054948,0.387174,-31.1855,1.05003,1.12548,2.2631,1646.52,108.725,18.1951,619.337
04/07/2020,2659.41,0.279882,45.3048,84.6715,-0.103604,0.024418,0.352977,-30.553,0.980309,1.07811,1.71514,1648.95,108.98,18.3019,683.778
04/06/2020,2663.68,0.264205,41.1872,83.8534,-0.098822,0.030932,0.305636,-27.2434,0.889708,0.965902,1.36652,1663,109.12,18.697,697.441
04/05/2020,,,,,,,,,,,,1618.45,108.915,18.7337,
04/04/2020,,,,,,,,,,,,1618.45,108.71,18.7704,
04/03/2020,2488.65,0.213091,37.5418,85.1146,-0.134637,0.003705,0.292542,-27.2536,0.802021,0.912647,1.44566,1618.45,108.505,18.8072,772.715
04/02/2020,2526.9,0.21768,40.5902,88.3309,-0.127443,-0.009224,0.28425,-28.3816,0.856828,0.993375,1.16534,1613.79,107.94,18.4926,733.699
04/01/2020,2470.5,0.231618,40.1582,91.7789,-0.181466,0.031058,0.289663,-30.268,0.914222,1.0104,3.18907,1595.05,107.12,17.9808,734.032
03/31/2020,2584.59,0.223982,47.2261,98.0546,-0.17106,0.031506,0.294646,-30.7329,0.942842,1.03978,2.18691,1571.31,107.935,17.8599,654.342
03/30/2020,2626.65,0.226143,44.3568,90.8732,-0.146695,0.01362,0.32414,-30.3201,0.830271,0.923482,0.101782,1623.3,108.07,17.9526,615.225
03/29/2020,,,,,,,,,,,,1623.5,108.1,17.8222,
03/28/2020,,,,,,,,,,,,1623.5,108.13,17.6918,
03/27/2020,2541.47,0.251566,48.6119,91.1572,-0.14848,0.026861,0.339177,-30.4599,0.845782,0.916965,-4.79481,1623.5,108.16,17.5613,619.419
03/26/2020,2630.07,0.269176,53.7273,91.6555,-0.139633,0.091998,0.305012,-29.2365,0.910686,0.896421,-7.04274,1632.38,109.46,17.2684,573.701
03/25/2020,2475.56,0.322053,52.7612,90.0672,-0.101848,0.099095,0.325996,-29.0568,0.992435,0.968419,-3.72729,1613.79,111.42,17.4127,655.39
03/24/2020,2447.33,0.385578,43.2366,87.3704,-0.093178,0.081528,0.325124,-28.3726,0.868028,0.844426,-8.49482,1622.03,111.455,17.6658,713.415
03/23/2020,2237.4,0.290223,47.5518,95.2069,-0.132892,0.101326,0.300793,-25.1922,0.829592,0.782065,-5.46226,1553.81,111.35,17.7778,864.346
03/22/2020,,,,,,,,,,,,1498.25,111.333,17.6895,
03/21/2020,,,,,,,,,,,,1498.25,111.317,17.6012,
03/20/2020,2304.92,0.359533,57.882,103.445,-0.163531,0.189883,0.289303,-30.8111,1.0369,0.901899,-11.1926,1498.25,111.3,17.5129,842.453
03/19/2020,2409.39,0.41668,71.5491,110.434,-0.15025,0.246813,0.398814,-34.7354,1.26551,1.07071,-16.9246,1471,110.08,17.376,778.637
03/18/2020,2398.1,0.523675,73.2412,108.031,-0.047873,0.255611,0.287945,-29.138,1.43474,1.24308,-11.4053,1486.3,108.43,17.1076,732.76
03/17/2020,2529.19,0.450564,54.4971,93.4709,-0.040836,0.230833,0.248803,-29.5283,1.15493,0.963892,-6.14169,1528.58,107.41,16.5917,647.892
03/16/2020,2386.13,0.359877,36.7762,82.371,0.009879,0.130952,0.254543,-26.9131,0.91522,0.829848,4.27917,1514.61,105.68,16.5459,672.01
03/15/2020,,,,,,,,,,,,1529.7,106.167,16.4829,
03/14/2020,,,,,,,,,,,,1529.7,106.653,16.42,
03/13/2020,2711.02,0.484287,46.956,84.4998,0.088779,0.148719,0.292868,-31.649,1.12752,1.03314,3.15091,1529.7,107.14,16.3571,552.941
03/12/2020,2480.64,0.484933,36.4816,75.7764,0.036818,0.176533,0.292153,-32.4789,0.999263,0.868481,-0.720534,1577.09,105.675,16.5418,682.808
03/11/2020,2741.38,0.489771,33.2933,65.3748,0.030679,0.144966,0.243037,-28.6145,0.981485,0.894765,5.10186,1635.03,104.82,16.1443,590.918
03/10/2020,2882.23,0.478764,27.1128,61.6391,-0.025802,0.136865,0.249992,-27.948,1.0111,0.953083,8.11894,1649.36,103.685,16.1151,534.103
03/09/2020,2746.56,0.33959,15.6553,50.9363,0.00395,0.030985,0.299703,-28.7833,0.636021,0.669047,7.64077,1680.2,102.52,15.9424,552.816
03/08/2020,,,,,,,,,,,,1674.24,103.467,15.8398,
03/07/2020,,,,,,,,,,,,1674.24,104.413,15.7371,
03/06/2020,2972.37,0.47263,23.1499,66.4771,-0.03593,0.00816,0.283939,-30.8115,0.880954,0.979196,6.29802,1674.24,105.36,15.6345,442.216
03/05/2020,3023.94,0.58547,33.932,89.8096,-0.113277,-0.055124,0.280289,-30.2876,1.12141,1.36384,-0.47659,1670.61,106.67,15.541,410.218
03/04/2020,3130.12,0.639364,35.1414,90.7561,-0.113286,-0.058602,0.22642,-27.5735,1.18899,1.44221,-1.08943,1635.83,107.27,15.3143,369.136
03/03/2020,3003.37,0.722746,29.397,86.4374,-0.137475,-0.074892,0.197181,-26.5963,1.16945,1.42883,-2.53669,1639.77,107.54,15.2847,387.957
03/02/2020,3090.23,0.823835,26.1056,78.0317,-0.110898,-0.053141,0.218989,-29.4181,1.22282,1.43818,-0.855507,1590.73,107.91,15.6386,366.475
03/01/2020,,,,,,,,,,,,1585.13,107.917,15.6699,
02/29/2020,,,,,,,,,,,,1585.13,107.923,15.7012,
02/28/2020,2954.22,0.873555,25.7061,75.5572,-0.147456,-0.0507,0.216926,-28.7725,1.24306,1.45455,-5.21849,1585.13,107.93,15.7325,372.035
02/27/2020,2978.76,1.09918,19.6262,67.6883,-0.137919,-0.045298,0.197693,-26.5541,1.3701,1.56379,-5.53463,1642.15,110.01,15.4426,374.469
02/26/2020,3116.39,1.14088,16.7895,66.5027,-0.16533,-0.051607,0.163635,-24.1696,1.37903,1.5795,-5.44468,1639.96,110.57,15.1385,345.734
02/25/2020,3128.21,1.20224,12.6537,64.7126,-0.180111,-0.046715,0.156357,-24.002,1.37869,1.5682,-6.87543,1635.38,110.14,15.2413,341.362
02/24/2020,3225.89,1.26601,11.2841,61.9914,-0.180924,-0.043514,0.163526,-25.1527,1.42465,1.60897,-7.57493,1660.72,110.66,15.1319,327.97
02/23/2020,,,,,,,,,,,,1643.7,111.003,15.0828,
02/22/2020,,,,,,,,,,,,1643.7,111.347,15.0337,
02/21/2020,3337.75,1.34817,12.3085,60.0892,-0.161213,-0.046148,0.152826,-23.982,1.50063,1.68424,-8.00359,1643.7,111.69,14.9846,296.953
02/20/2020,3373.23,1.39328,13.2107,60.3202,-0.161466,-0.053203,0.1551,-23.3444,1.57456,1.77376,-6.86724,1619.7,112.1,15.1493,290.835
02/19/2020,3386.15,1.42392,14.5636,60.6855,-0.160324,-0.055794,0.159274,-23.0192,1.63019,1.83704,-6.61218,1611.64,110.95,14.9929,288.623
02/18/2020,3370.29,1.40957,14.4663,61.3518,-0.159652,-0.063257,0.155664,-22.3903,1.6114,1.82943,-7.18816,1601.92,109.81,14.9932,290.155
02/17/2020,3375.23,,,,,,0.156516,-21.9293,,,-6.88098,1581.1,109.94,15.0164,286.51
02/16/2020,,,,,,,,,,,,1584.7,109.88,14.968,
02/15/2020,,,,,,,,,,,,1584.7,109.82,14.9195,
02/14/2020,3380.16,1.42379,16.2761,63.0696,-0.166855,-0.058919,0.152802,-22.1932,1.66377,1.88352,-6.57379,1584.7,109.76,14.8711,286.51
02/13/2020,3373.94,1.4418,17.5488,63.5461,-0.168097,-0.053738,0.15301,-20.6495,1.70284,1.91854,-6.14566,1576.39,109.8,14.8937,283.467
02/12/2020,3379.45,1.43968,19.0203,64.8279,-0.167759,-0.05112,0.146766,-19.9809,1.72885,1.94468,-5.53202,1565.63,110.02,14.835,282.269
02/11/2020,3357.75,1.41331,17.5206,64.0387,-0.169241,-0.058916,0.137577,-19.043,1.66847,1.89036,-6.54839,1567.72,109.91,14.8157,285.973
02/10/2020,3352.09,1.37695,17.0395,65.3992,-0.17451,-0.070436,0.136636,-18.4489,1.62928,1.86872,-6.34174,1572.3,109.73,15.0246,288.987
02/09/2020,,,,,,,,,,,,1570.29,109.747,15.0404,
02/08/2020,,,,,,,,,,,,1570.29,109.763,15.0562,
02/07/2020,3327.71,1.39911,17.5737,64.1218,-0.166928,-0.073192,0.143064,-18.3454,1.66145,1.90283,-5.81561,1570.29,109.78,15.0721,292.223
02/06/2020,3345.78,1.44723,19.6667,65.3163,-0.16696,-0.056561,0.150257,-19.1573,1.74493,1.96914,-5.28288,1566.85,109.98,14.8974,286.393
02/05/2020,3334.69,1.43911,20.9998,67.4792,-0.176737,-0.059909,0.156292,-20.7146,1.76024,1.9948,-5.51663,1556.71,109.75,14.7795,284.982
02/04/2020,3297.59,1.41499,18.7575,65.8061,-0.184211,-0.065355,0.164155,-21.7932,1.69898,1.93467,-5.89656,1552.56,109.34,14.737,295.395
02/03/2020,3248.92,1.35301,16.5661,65.3131,-0.193469,-0.070807,0.165184,-22.3019,1.60849,1.8483,-6.10274,1576.45,108.72,14.891,308.274
02/02/2020,,,,,,,,,,,,1590.2,108.613,14.9259,
02/01/2020,,,,,,,,,,,,1590.2,108.507,14.9608,
01/31/2020,3225.52,1.32713,18.989,68.7899,-0.20442,-0.079505,0.170613,-22.3002,1.60917,1.8681,-6.93033,1590.2,108.4,14.9957,307.096
01/30/2020,3283.66,1.3909,16.5571,64.9508,-0.187387,-0.075061,0.176175,-23.1228,1.63569,1.88064,-6.03616,1574.18,108.68,14.8195,299.611
01/29/2020,3273.4,1.41873,17.3761,63.502,-0.187368,-0.066728,0.173413,-23.3805,1.67993,1.91383,-5.34837,1577.12,109.16,14.606,302.679
01/28/2020,3276.24,1.45654,18.4152,63,-0.18211,-0.065246,0.174866,-23.9009,1.72206,1.95572,-6.01383,1566.25,109.15,14.6121,298.624
01/27/2020,3243.63,1.44085,16.374,62.1446,-0.179444,-0.066785,0.181766,-23.5176,1.67504,1.90708,-6.41397,1581.95,108.92,14.6207,312.425
01/26/2020,,,,,,,,,,,,1570.65,109.093,14.5537,
01/25/2020,,,,,,,,,,,,1570.65,109.267,14.4868,
01/24/2020,3295.47,1.48438,19.4351,62.7731,-0.156988,-0.0669,0.181094,-23.7217,1.75764,1.99218,-5.75287,1570.65,109.44,14.4198,297.298
01/23/2020,3325.54,1.51784,21.988,62.671,-0.144626,-0.052811,0.181202,-23.6337,1.8252,2.04322,-5.81548,1563.3,109.38,14.408,291.693
01/22/2020,3321.75,1.52621,24.2854,64.3469,-0.155662,-0.045383,0.182204,-24.625,1.8763,2.09194,-5.80844,1558.92,109.91,14.3459,286.692
01/21/2020,3320.79,1.53045,23.6865,65.6077,-0.154381,-0.05618,0.181627,-24.1152,1.87908,2.1101,-4.94796,1558.02,109.91,14.4778,286.55
01/20/2020,3325.21,,,,,,0.180622,-25.1042,,,-5.25177,1564.26,110.15,14.508,280.921
01/19/2020,,,,,,,,,,,,1556.59,110.157,14.4936,
01/18/2020,,,,,,,,,,,,1556.59,110.163,14.4792,
01/17/2020,3329.62,1.56948,26.425,66.473,-0.148695,-0.045258,0.182472,-24.2817,1.94823,2.16794,-5.55558,1556.61,110.17,14.4648,280.921
01/16/2020,3316.81,1.56778,24.1369,63.5506,-0.143928,-0.048303,0.188435,-24.459,1.91206,2.12673,-6.26194,1552.79,110.12,14.4097,281.515
01/15/2020,3289.29,1.56177,22.6424,64.1145,-0.153634,-0.051352,0.193974,-24.0478,1.89788,2.11706,-5.55408,1556.18,109.99,14.3911,283.391
01/14/2020,3283.15,1.57811,23.8,65.0144,-0.153387,-0.043582,0.193125,-23.8795,1.93061,2.14399,-6.27732,1546.37,110.05,14.3959,282.872
01/13/2020,3288.13,1.5863,25.9572,65.488,-0.147443,-0.040713,0.193377,-23.8856,1.95438,2.16585,-7.10874,1548.3,109.93,14.4365,280.535
01/12/2020,,,,,,,,,,,,1562.29,109.807,14.3667,
01/11/2020,,,,,,,,,,,,1562.29,109.683,14.2969,
01/10/2020,3265.35,1.57015,25.4703,64.7115,-0.140003,-0.048882,0.187898,-23.9887,1.92086,2.13601,-6.97392,1562.28,109.56,14.2271,280.837
01/09/2020,3274.7,1.57646,28.1699,67.6673,-0.144339,-0.038187,0.192773,-23.7136,1.9676,2.17425,-6.9914,1552.37,109.55,14.1985,278.862
01/08/2020,3253.05,1.58258,28.9632,69.2809,-0.136248,-0.046353,0.189332,-22.3253,1.97966,2.19751,-7.11709,1555.81,108.63,14.2389,282.907
01/07/2020,3237.18,1.54643,27.8425,68.6368,-0.151773,-0.042474,0.195449,-23.3417,1.9344,2.14552,-6.97576,1573.99,108.61,14.3139,285.743
01/06/2020,3246.28,1.54655,25.8976,67.0977,-0.150579,-0.050548,0.194703,-23.3788,1.89554,2.11032,-7.96689,1565.93,108.32,14.2344,282.458
